Name: STRATO3, HW Version: 1.1, SW Version: 2.0, SN: 1001005000044
#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Extern: Temp [C];Extern: Hum [perc];Extern: Press [hPa];Batt Voltage [V];Logger Status
$;00:00:01;00:00:01;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;19.750;16.875;69.695;1021.130;9.2;66561
$;00:00:03;00:00:03;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;19.750;16.875;69.634;1021.109;9.2;66577
$;00:00:05;09:45:38;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;19.750;16.875;69.534;1021.169;9.2;66577
$;00:00:07;09:45:40;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;19.875;17.0;69.420;1021.109;9.2;66591
$;00:00:09;09:45:42;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;19.875;17.0;69.351;1021.150;9.2;66591
$;00:00:11;09:45:44;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;19.750;16.875;69.298;1021.90;9.2;66711
$;00:00:13;09:45:46;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;19.750;17.125;69.244;1021.70;9.2;66609
$;00:00:15;09:45:48;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.875;16.875;69.199;1021.80;9.2;66609
$;00:00:17;09:45:50;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.875;16.750;69.77;1021.99;9.2;66615
$;00:00:19;09:45:52;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.750;16.875;68.939;1021.130;9.2;66609
$;00:00:21;09:45:54;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.750;16.875;68.840;1021.70;9.2;66609
$;00:00:23;09:45:56;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.875;17.0;68.764;1021.0;9.2;66615
$;00:00:25;09:45:58;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.875;16.875;68.710;1021.109;9.2;66609
$;00:00:27;09:46:00;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.875;16.875;68.649;1021.49;9.2;66609
$;00:00:29;09:46:02;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.875;16.875;68.604;1021.179;9.1;66615
$;00:00:31;09:46:04;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;19.875;16.750;68.588;1021.119;9.2;66609
$;00:00:33;09:46:06;04.10.2022;Y;04;54 03.91101 N;009 59.05047 E;0.557;1.0;;1.3;20.0;16.875;68.550;1021.99;9.2;66673
$;00:00:35;09:46:08;04.10.2022;Y;04;54 03.91075 N;009 59.05106 E;0.184;0.3;;-0.2;19.875;17.0;68.527;1021.210;9.2;66673
$;00:00:37;09:46:10;04.10.2022;Y;04;54 03.91093 N;009 59.05062 E;0.245;0.4;;0.2;19.875;17.0;68.504;1020.969;9.2;66673
$;00:00:39;09:46:12;04.10.2022;Y;04;54 03.91139 N;009 59.04908 E;0.255;0.4;;4.0;20.0;16.750;68.481;1021.169;9.2;66673
$;00:00:41;09:46:14;04.10.2022;Y;04;54 03.91195 N;009 59.04674 E;0.839;1.5;;10.1;20.0;16.875;68.451;1020.940;9.2;66673
$;00:00:43;09:46:16;04.10.2022;Y;04;54 03.91210 N;009 59.04616 E;0.754;1.3;;11.5;20.0;16.750;68.436;1021.260;9.2;66673
$;00:00:45;09:46:18;04.10.2022;Y;04;54 03.91195 N;009 59.04650 E;1.526;2.8;;10.4;20.125;17.0;68.413;1021.119;9.2;66673
$;00:00:47;09:46:20;04.10.2022;Y;04;54 03.91192 N;009 59.04565 E;1.335;2.4;;13.1;20.0;16.875;68.413;1021.49;9.2;66673
$;00:00:49;09:46:22;04.10.2022;Y;04;54 03.91186 N;009 59.04495 E;0.960;1.7;;16.1;20.0;17.0;68.420;1021.210;9.1;66673
$;00:00:51;09:46:24;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;20.125;17.0;68.420;1021.99;9.2;66609
$;00:00:53;09:46:26;04.10.2022;Y;04;54 03.90992 N;009 59.04117 E;2.265;4.1;310.05;27.8;20.125;16.875;68.443;1021.169;9.1;66673
$;00:00:55;09:46:28;04.10.2022;Y;04;54 03.91058 N;009 59.04008 E;0.932;1.7;;27.1;20.0;17.0;68.459;1021.0;9.2;66673
$;00:00:57;09:46:30;04.10.2022;Y;04;54 03.90912 N;009 59.03857 E;0.966;1.7;;27.9;20.125;17.0;68.466;1021.49;9.2;66673
$;00:00:59;09:46:32;04.10.2022;N;NA;NA;NA;NA;NA;NA;NA;20.125;17.0;68.489;1021.169;9.2;66609
$;00:01:01;09:46:34;04.10.2022;Y;04;54 03.91088 N;009 59.04153 E;0.365;0.6;;30.4;20.250;16.875;68.504;1021.59;9.2;66673
$;00:01:03;09:46:36;04.10.2022;Y;04;54 03.91003 N;009 59.04123 E;0.173;0.3;;28.1;20.125;16.875;68.520;1021.90;9.1;66673
$;00:01:05;09:46:38;04.10.2022;Y;04;54 03.91012 N;009 59.04429 E;0.694;1.2;;16.9;20.125;16.875;68.527;1021.80;9.2;66673
$;00:01:07;09:46:40;04.10.2022;Y;04;54 03.90959 N;009 59.04530 E;0.866;1.6;;11.7;20.250;17.0;68.535;1020.940;9.1;66673
$;00:01:09;09:46:42;04.10.2022;Y;04;54 03.91034 N;009 59.04461 E;1.894;3.5;;10.6;20.125;16.750;68.535;1020.989;9.2;66673
$;00:01:11;09:46:44;04.10.2022;Y;04;54 03.91062 N;009 59.04536 E;0.677;1.2;;8.2;20.0;16.875;68.520;1021.10;9.2;66673
$;00:01:13;09:46:46;04.10.2022;Y;04;54 03.91067 N;009 59.04502 E;0.293;0.5;;10.5;20.0;17.0;68.497;1021.99;9.1;66673
$;00:01:15;09:46:48;04.10.2022;Y;04;54 03.91094 N;009 59.04585 E;0.595;1.1;;9.9;20.250;17.0;68.497;1021.70;9.2;66673
$;00:01:17;09:46:50;04.10.2022;Y;04;54 03.91090 N;009 59.04663 E;0.302;0.5;;9.1;20.125;16.875;68.497;1021.20;9.2;66673
$;00:01:19;09:46:52;04.10.2022;Y;04;54 03.91107 N;009 59.04629 E;0.250;0.4;;10.0;20.125;16.875;68.512;1021.70;9.1;66673
$;00:01:21;09:46:54;04.10.2022;Y;04;54 03.91123 N;009 59.04646 E;0.372;0.6;;9.8;20.250;16.875;68.527;1020.960;9.2;66673
$;00:01:23;09:46:56;04.10.2022;Y;04;54 03.91176 N;009 59.04515 E;0.510;0.9;;13.2;20.125;16.875;68.558;1020.969;9.1;66673
$;00:01:25;09:46:58;04.10.2022;Y;06;54 03.91175 N;009 59.04479 E;1.319;2.4;206.39;15.8;20.125;17.125;68.581;1020.979;9.2;66673
$;00:01:27;09:47:00;04.10.2022;Y;06;54 03.91218 N;009 59.04401 E;0.181;0.3;;18.2;20.125;17.0;68.596;1021.109;9.1;66673
$;00:01:29;09:47:02;04.10.2022;Y;06;54 03.91316 N;009 59.04304 E;0.377;0.6;;18.9;20.250;17.0;68.611;1021.109;9.1;66673
$;00:01:31;09:47:04;04.10.2022;Y;05;54 03.91305 N;009 59.04283 E;0.465;0.8;;19.4;20.125;16.875;68.634;1021.39;9.2;66673
$;00:01:33;09:47:06;04.10.2022;Y;06;54 03.91259 N;009 59.04267 E;0.178;0.3;;18.7;20.375;17.125;68.657;1021.70;9.2;66673
$;00:01:35;09:47:08;04.10.2022;Y;06;54 03.91279 N;009 59.04241 E;0.042;0.0;;19.5;20.375;17.0;68.680;1021.150;9.2;66673
$;00:01:37;09:47:10;04.10.2022;Y;06;54 03.91317 N;009 59.04250 E;0.091;0.1;;20.9;20.250;17.250;68.695;1021.90;9.2;66673
$;00:01:39;09:47:12;04.10.2022;Y;06;54 03.91326 N;009 59.04253 E;0.010;0.0;;21.3;20.375;17.125;68.710;1021.159;9.2;66673
$;00:01:41;09:47:14;04.10.2022;Y;06;54 03.91331 N;009 59.04259 E;0.076;0.1;;21.5;20.375;17.125;68.710;1020.989;9.1;66673
$;00:01:43;09:47:16;04.10.2022;Y;06;54 03.91308 N;009 59.04271 E;0.319;0.5;;21.2;20.375;17.125;68.710;1020.960;9.2;66673
$;00:01:45;09:47:18;04.10.2022;Y;06;54 03.91316 N;009 59.04256 E;0.192;0.3;;21.3;20.500;16.875;68.710;1021.49;9.1;66673
$;00:01:47;09:47:20;04.10.2022;Y;06;54 03.91318 N;009 59.04240 E;0.026;0.0;;21.4;20.375;17.0;68.710;1021.70;9.1;66673
$;00:01:49;09:47:22;04.10.2022;Y;06;54 03.91324 N;009 59.04222 E;0.149;0.2;;21.3;20.500;17.0;68.726;1021.80;9.2;66673
$;00:01:51;09:47:24;04.10.2022;Y;06;54 03.91326 N;009 59.04208 E;0.380;0.7;;21.1;20.500;17.250;68.733;1020.989;9.2;66673
$;00:01:53;09:47:26;04.10.2022;Y;06;54 03.91323 N;009 59.04205 E;0.250;0.4;;20.9;20.500;17.0;68.733;1021.70;9.2;66673
$;00:01:55;09:47:28;04.10.2022;Y;06;54 03.91360 N;009 59.04197 E;0.053;0.0;;21.1;20.500;17.250;68.710;1021.80;9.2;66673
$;00:01:57;09:47:30;04.10.2022;Y;06;54 03.91377 N;009 59.04203 E;0.152;0.2;;21.2;20.500;17.250;68.710;1021.119;9.2;66673
$;00:01:59;09:47:32;04.10.2022;Y;06;54 03.91371 N;009 59.04194 E;0.142;0.2;;21.3;20.625;17.125;68.710;1020.950;9.2;66673
$;00:02:01;09:47:34;04.10.2022;Y;06;54 03.91366 N;009 59.04203 E;0.063;0.1;;21.5;20.500;17.125;68.703;1021.109;9.1;66673
$;00:02:03;09:47:36;04.10.2022;Y;06;54 03.91359 N;009 59.04212 E;0.060;0.1;;21.6;20.750;17.125;68.718;1021.70;9.1;66673
$;00:02:05;09:47:38;04.10.2022;Y;06;54 03.91357 N;009 59.04212 E;0.133;0.2;;21.7;20.625;17.125;68.710;1021.20;9.1;66673
$;00:02:07;09:47:40;04.10.2022;Y;06;54 03.91320 N;009 59.04252 E;0.036;0.0;;22.1;20.750;17.250;68.718;1021.20;9.2;66673
$;00:02:09;09:47:42;04.10.2022;Y;06;54 03.91321 N;009 59.04268 E;0.084;0.1;;22.4;20.625;17.250;68.718;1020.979;9.1;66673
$;00:02:11;09:47:44;04.10.2022;Y;06;54 03.91322 N;009 59.04202 E;0.088;0.1;;20.8;20.750;17.125;68.726;1021.0;9.1;66673
$;00:02:13;09:47:46;04.10.2022;Y;06;54 03.91342 N;009 59.04157 E;0.078;0.1;;20.9;20.750;17.125;68.726;1021.39;9.2;66673
$;00:02:15;09:47:48;04.10.2022;Y;06;54 03.91344 N;009 59.04138 E;0.238;0.4;;20.8;20.875;17.125;68.733;1021.70;9.2;66673
$;00:02:17;09:47:50;04.10.2022;Y;06;54 03.91356 N;009 59.04119 E;0.160;0.2;;21.3;20.875;17.250;68.726;1311.180;9.1;68721
$;00:02:19;09:47:52;04.10.2022;Y;06;54 03.91353 N;009 59.04115 E;0.080;0.1;;21.2;20.875;17.125;68.733;1021.80;9.2;66673
$;00:02:21;09:47:54;04.10.2022;Y;06;54 03.91351 N;009 59.04107 E;0.322;0.5;;21.3;20.750;17.125;68.741;1021.39;9.2;66673
$;00:02:23;09:47:56;04.10.2022;Y;06;54 03.91340 N;009 59.04099 E;0.267;0.4;;20.9;20.750;17.0;68.741;1021.59;9.1;66673
$;00:02:25;09:47:58;04.10.2022;Y;06;54 03.91338 N;009 59.04105 E;0.015;0.0;;20.7;20.875;17.125;68.741;1021.90;9.2;66673
$;00:02:27;09:48:00;04.10.2022;Y;06;54 03.91325 N;009 59.04143 E;0.144;0.2;;20.8;20.875;17.250;68.741;1020.929;9.1;66673
$;00:02:29;09:48:02;04.10.2022;Y;06;54 03.91319 N;009 59.04163 E;0.204;0.3;;20.2;20.875;17.250;68.687;1021.150;9.1;66673
$;00:02:31;09:48:04;04.10.2022;Y;06;54 03.91310 N;009 59.04171 E;0.166;0.3;;20.0;20.875;17.125;68.451;1021.159;9.1;66673
$;00:02:33;09:48:06;04.10.2022;Y;06;54 03.91297 N;009 59.04186 E;0.110;0.2;;19.7;20.875;17.125;68.275;1021.169;9.1;66673
$;00:02:35;09:48:08;04.10.2022;Y;06;54 03.91288 N;009 59.04194 E;0.083;0.1;;19.6;20.875;17.250;68.192;1021.80;9.1;66673
$;00:02:37;09:48:10;04.10.2022;Y;06;54 03.91285 N;009 59.04205 E;0.012;0.0;;19.7;20.750;17.250;68.138;1021.10;9.1;66673
$;00:02:39;09:48:12;04.10.2022;Y;06;54 03.91285 N;009 59.04215 E;0.047;0.0;;19.7;20.750;17.250;68.108;1020.969;9.1;66673
$;00:02:41;09:48:14;04.10.2022;Y;06;54 03.91295 N;009 59.04215 E;0.028;0.0;;19.9;20.875;17.125;68.77;1021.20;9.1;66673
$;00:02:43;09:48:16;04.10.2022;Y;06;54 03.91308 N;009 59.04216 E;0.090;0.1;;20.2;20.875;17.125;68.54;1021.10;9.1;66673
$;00:02:45;09:48:18;04.10.2022;Y;06;54 03.91315 N;009 59.04227 E;0.092;0.1;;20.2;20.875;17.375;68.24;1021.99;9.1;66673
$;00:02:47;09:48:20;04.10.2022;Y;06;54 03.91319 N;009 59.04232 E;0.049;0.0;;20.2;20.750;17.250;67.947;1021.90;9.1;66673
$;00:02:49;09:48:22;04.10.2022;Y;07;54 03.91322 N;009 59.04244 E;0.041;0.0;;20.1;20.750;17.125;67.818;1021.10;9.1;66673
$;00:02:51;09:48:24;04.10.2022;Y;07;54 03.91330 N;009 59.04244 E;0.008;0.0;;20.2;20.750;17.250;67.627;1021.39;9.1;66673
$;00:02:53;09:48:26;04.10.2022;Y;07;54 03.91342 N;009 59.04226 E;0.153;0.2;;20.7;20.875;17.375;67.497;1021.150;9.1;66673
$;00:02:55;09:48:28;04.10.2022;Y;08;54 03.91346 N;009 59.04211 E;0.128;0.2;;21.1;20.750;17.375;67.429;1021.39;9.1;66673
$;00:02:57;09:48:30;04.10.2022;Y;08;54 03.91350 N;009 59.04210 E;0.102;0.1;;21.3;20.875;17.375;67.390;1021.30;9.1;66673
$;00:02:59;09:48:32;04.10.2022;Y;08;54 03.91344 N;009 59.04212 E;0.045;0.0;;21.3;20.875;17.125;67.360;1020.979;9.1;66673
$;00:03:01;09:48:34;04.10.2022;Y;09;54 03.91334 N;009 59.04220 E;0.092;0.1;;21.1;20.875;17.125;67.291;1021.80;9.1;66673
$;00:03:03;09:48:36;04.10.2022;Y;09;54 03.91333 N;009 59.04218 E;0.052;0.0;;21.0;20.875;17.250;67.246;1020.979;9.1;66673
$;00:03:05;09:48:38;04.10.2022;Y;09;54 03.91339 N;009 59.04221 E;0.436;0.8;;20.8;20.750;17.375;67.238;1021.10;9.1;66673
$;00:03:07;09:48:40;04.10.2022;Y;09;54 03.91338 N;009 59.04204 E;0.100;0.1;;21.3;21.0;17.375;67.253;1020.929;9.1;66673
$;00:03:09;09:48:42;04.10.2022;Y;09;54 03.91337 N;009 59.04207 E;0.219;0.4;;20.8;20.875;17.250;67.253;1021.99;9.1;66673
$;00:03:11;09:48:44;04.10.2022;Y;09;54 03.91343 N;009 59.04197 E;0.332;0.6;;20.8;20.875;17.125;67.268;1021.49;9.1;66673
$;00:03:13;09:48:46;04.10.2022;Y;09;54 03.91354 N;009 59.04191 E;0.127;0.2;;21.4;20.875;17.250;67.253;1020.830;9.1;66673
$;00:03:15;09:48:48;04.10.2022;Y;09;54 03.91349 N;009 59.04204 E;0.093;0.1;;21.1;21.0;17.375;67.238;1020.890;9.1;66673
$;00:03:17;09:48:50;04.10.2022;Y;09;54 03.91357 N;009 59.04217 E;0.120;0.2;;21.0;20.875;17.250;67.238;1021.0;9.1;66673
$;00:03:19;09:48:52;04.10.2022;Y;09;54 03.91360 N;009 59.04246 E;0.127;0.2;;20.9;21.0;17.500;67.253;1021.10;9.1;66673
$;00:03:21;09:48:54;04.10.2022;Y;09;54 03.91361 N;009 59.04267 E;0.087;0.1;;20.7;20.875;17.125;67.261;1020.919;9.1;66673
$;00:03:23;09:48:56;04.10.2022;Y;09;54 03.91361 N;009 59.04277 E;0.027;0.0;;20.5;20.875;17.250;67.268;1020.969;9.1;66673
$;00:03:25;09:48:58;04.10.2022;Y;09;54 03.91366 N;009 59.04285 E;0.188;0.3;;20.5;20.875;17.250;67.291;1021.39;9.1;66673
$;00:03:27;09:49:00;04.10.2022;Y;09;54 03.91374 N;009 59.04287 E;0.124;0.2;;20.4;21.0;17.125;67.299;1020.979;9.1;66673
$;00:03:29;09:49:02;04.10.2022;Y;09;54 03.91375 N;009 59.04284 E;0.142;0.2;;20.5;21.0;17.375;67.307;1021.39;9.1;66673
$;00:03:31;09:49:04;04.10.2022;Y;09;54 03.91378 N;009 59.04290 E;0.078;0.1;;20.6;21.0;17.500;67.307;1020.960;9.1;66673
$;00:03:33;09:49:06;04.10.2022;Y;09;54 03.91385 N;009 59.04282 E;0.191;0.3;;20.8;21.0;17.375;67.314;1020.900;9.1;66673
$;00:03:35;09:49:08;04.10.2022;Y;09;54 03.91387 N;009 59.04290 E;0.087;0.1;;20.5;21.0;17.375;67.322;1020.919;9.1;66673
$;00:03:37;09:49:10;04.10.2022;Y;09;54 03.91389 N;009 59.04304 E;0.136;0.2;;20.4;20.875;17.375;67.329;1020.979;9.1;66673
$;00:03:39;09:49:12;04.10.2022;Y;09;54 03.91386 N;009 59.04296 E;0.104;0.1;;20.3;20.875;17.250;67.322;1020.909;9.1;66673
$;00:03:41;09:49:14;04.10.2022;Y;09;54 03.91387 N;009 59.04300 E;0.054;0.1;;20.0;21.0;17.500;67.329;1021.99;9.1;66673
$;00:03:43;09:49:16;04.10.2022;Y;09;54 03.91388 N;009 59.04290 E;0.249;0.4;;20.1;21.0;17.375;67.345;1021.0;9.1;66673
$;00:03:45;09:49:18;04.10.2022;Y;09;54 03.91391 N;009 59.04292 E;0.009;0.0;;20.2;21.0;17.250;67.345;1020.969;9.1;66673
$;00:03:47;09:49:20;04.10.2022;Y;09;54 03.91395 N;009 59.04304 E;0.077;0.1;;20.0;21.125;17.250;67.352;1020.890;9.1;66673
$;00:03:49;09:49:22;04.10.2022;Y;09;54 03.91398 N;009 59.04313 E;0.081;0.1;;19.7;21.125;17.375;67.352;1021.49;9.1;66673
$;00:03:51;09:49:24;04.10.2022;Y;09;54 03.91397 N;009 59.04337 E;0.311;0.5;;19.3;21.0;17.500;67.368;1020.979;9.1;66673
$;00:03:53;09:49:26;04.10.2022;Y;09;54 03.91402 N;009 59.04362 E;0.148;0.2;;19.1;21.125;17.250;67.375;1020.979;9.1;66673
$;00:03:55;09:49:28;04.10.2022;Y;09;54 03.91399 N;009 59.04376 E;0.153;0.2;;19.0;21.125;17.500;67.390;1020.880;9.1;66673
$;00:03:57;09:49:30;04.10.2022;Y;09;54 03.91404 N;009 59.04383 E;0.083;0.1;;18.9;21.125;17.500;67.398;1021.0;9.1;66673
$;00:03:59;09:49:32;04.10.2022;Y;09;54 03.91410 N;009 59.04361 E;0.132;0.2;;19.5;21.125;17.250;67.421;1020.969;9.1;66673
$;00:04:01;09:49:34;04.10.2022;Y;09;54 03.91413 N;009 59.04366 E;0.133;0.2;;19.4;21.125;17.375;67.429;1020.880;9.1;66673
$;00:04:03;09:49:36;04.10.2022;Y;09;54 03.91402 N;009 59.04337 E;0.071;0.1;;19.3;21.125;17.500;67.429;1020.900;9.1;66673
$;00:04:05;09:49:38;04.10.2022;Y;09;54 03.91400 N;009 59.04332 E;0.024;0.0;;19.0;21.250;17.250;67.444;1020.940;9.1;66673
$;00:04:07;09:49:40;04.10.2022;Y;09;54 03.91397 N;009 59.04313 E;0.063;0.1;;19.2;21.125;17.375;67.459;1021.20;9.1;66673
$;00:04:09;09:49:42;04.10.2022;Y;09;54 03.91379 N;009 59.04288 E;0.060;0.1;;19.3;21.125;17.125;67.459;1020.919;9.1;66673
$;00:04:11;09:49:44;04.10.2022;Y;09;54 03.91373 N;009 59.04286 E;0.059;0.1;;19.3;21.125;17.500;67.474;1020.940;9.1;66673
$;00:04:13;09:49:46;04.10.2022;Y;09;54 03.91367 N;009 59.04282 E;0.112;0.2;;19.4;21.250;17.250;67.467;1020.849;9.1;66673
$;00:04:15;09:49:48;04.10.2022;Y;09;54 03.91362 N;009 59.04290 E;0.193;0.3;;19.2;21.0;17.375;67.398;1021.10;9.1;66673
$;00:04:17;09:49:50;04.10.2022;Y;09;54 03.91361 N;009 59.04299 E;0.200;0.3;;19.1;21.125;17.500;67.299;1021.10;9.1;66673
$;00:04:19;09:49:52;04.10.2022;Y;09;54 03.91369 N;009 59.04326 E;0.036;0.0;;18.7;21.250;17.500;67.184;1020.989;9.1;66673
$;00:04:21;09:49:54;04.10.2022;Y;09;54 03.91360 N;009 59.04339 E;0.375;0.6;;17.9;21.0;17.375;67.62;1020.840;9.1;66673
$;00:04:23;09:49:56;04.10.2022;Y;09;54 03.91361 N;009 59.04347 E;0.100;0.1;;17.7;21.0;17.125;66.963;1020.979;9.1;66673
$;00:04:25;09:49:58;04.10.2022;Y;09;54 03.91374 N;009 59.04347 E;0.047;0.0;;17.8;21.125;17.125;66.872;1020.979;9.1;66673
$;00:04:27;09:50:00;04.10.2022;Y;09;54 03.91378 N;009 59.04343 E;0.112;0.2;;17.9;21.125;17.375;66.826;1020.969;9.1;66673
$;00:04:29;09:50:02;04.10.2022;Y;09;54 03.91378 N;009 59.04322 E;0.287;0.5;;18.2;21.0;17.500;66.811;1020.979;9.1;66673
$;00:04:31;09:50:04;04.10.2022;Y;09;54 03.91387 N;009 59.04312 E;0.234;0.4;;18.2;21.0;17.375;66.811;1021.59;9.1;66673
$;00:04:33;09:50:06;04.10.2022;Y;09;54 03.91388 N;009 59.04316 E;0.359;0.6;;17.8;21.125;17.250;66.811;1020.950;9.1;66673
$;00:04:35;09:50:08;04.10.2022;Y;09;54 03.91389 N;009 59.04348 E;0.128;0.2;;17.2;21.0;17.125;66.826;1021.70;9.1;66673
$;00:04:37;09:50:10;04.10.2022;Y;09;54 03.91379 N;009 59.04357 E;0.228;0.4;;16.9;21.0;17.125;66.849;1020.929;9.1;66673
$;00:04:39;09:50:12;04.10.2022;Y;09;54 03.91373 N;009 59.04363 E;0.051;0.0;;16.6;21.0;17.250;66.872;1020.929;9.1;66673
$;00:04:41;09:50:14;04.10.2022;Y;09;54 03.91372 N;009 59.04369 E;0.215;0.3;;16.4;21.0;17.375;66.887;1021.90;9.1;66673
$;00:04:43;09:50:16;04.10.2022;Y;09;54 03.91376 N;009 59.04373 E;0.086;0.1;;16.3;21.125;17.125;66.887;1020.969;9.1;66673
$;00:04:45;09:50:18;04.10.2022;Y;09;54 03.91382 N;009 59.04375 E;0.076;0.1;;16.3;21.125;17.375;66.887;1021.0;9.1;66673
$;00:04:47;09:50:20;04.10.2022;Y;09;54 03.91388 N;009 59.04382 E;0.093;0.1;;16.2;21.0;17.125;66.879;1021.80;9.1;66673
$;00:04:49;09:50:22;04.10.2022;Y;09;54 03.91388 N;009 59.04386 E;0.060;0.1;;16.2;21.125;17.125;66.895;1021.20;9.1;66673
$;00:04:51;09:50:24;04.10.2022;Y;09;54 03.91396 N;009 59.04405 E;0.037;0.0;;16.0;21.125;17.0;66.879;1021.90;9.1;66673
$;00:04:53;09:50:26;04.10.2022;Y;09;54 03.91390 N;009 59.04405 E;0.022;0.0;;15.5;21.125;17.125;66.879;1020.960;9.1;66673
$;00:04:55;09:50:28;04.10.2022;Y;09;54 03.91378 N;009 59.04403 E;0.069;0.1;;15.0;21.125;17.250;66.887;1020.929;9.1;66673
$;00:04:57;09:50:30;04.10.2022;Y;09;54 03.91377 N;009 59.04404 E;0.106;0.1;;15.1;21.125;17.250;66.902;1021.20;9.1;66673
$;00:04:59;09:50:32;04.10.2022;Y;09;54 03.91376 N;009 59.04397 E;0.062;0.1;;15.4;21.125;17.250;66.902;1020.929;9.1;66673
$;00:05:01;09:50:34;04.10.2022;Y;09;54 03.91371 N;009 59.04378 E;0.094;0.1;;15.6;21.250;17.125;66.917;1020.900;9.1;66673
$;00:05:03;09:50:36;04.10.2022;Y;09;54 03.91372 N;009 59.04377 E;0.142;0.2;;16.1;21.250;17.250;66.933;1020.909;9.1;66673
$;00:05:05;09:50:38;04.10.2022;Y;09;54 03.91365 N;009 59.04362 E;0.263;0.4;;16.3;21.375;17.125;66.933;1021.10;9.1;66673
$;00:05:07;09:50:40;04.10.2022;Y;09;54 03.91363 N;009 59.04365 E;0.142;0.2;;16.5;21.375;17.125;66.933;1020.909;9.1;66673
$;00:05:09;09:50:42;04.10.2022;Y;09;54 03.91364 N;009 59.04372 E;0.042;0.0;;16.6;21.250;17.125;66.948;1020.900;9.1;66673
$;00:05:11;09:50:44;04.10.2022;Y;09;54 03.91363 N;009 59.04377 E;0.137;0.2;;16.7;21.375;17.125;66.956;1020.969;9.1;66673
$;00:05:13;09:50:46;04.10.2022;Y;09;54 03.91360 N;009 59.04369 E;0.131;0.2;;16.9;21.375;17.375;66.971;1021.20;9.1;66673
$;00:05:15;09:50:48;04.10.2022;Y;09;54 03.91356 N;009 59.04362 E;0.025;0.0;;16.8;21.250;17.125;66.978;1020.940;9.1;66673
$;00:05:17;09:50:50;04.10.2022;Y;09;54 03.91361 N;009 59.04352 E;0.231;0.4;;17.0;21.375;17.125;66.994;1020.909;9.1;66673
$;00:05:19;09:50:52;04.10.2022;Y;09;54 03.91364 N;009 59.04350 E;0.097;0.1;;17.3;21.375;17.125;67.17;1021.20;9.1;66673
$;00:05:21;09:50:54;04.10.2022;Y;09;54 03.91352 N;009 59.04325 E;0.179;0.3;;17.7;21.375;17.250;67.17;1020.849;9.1;66673
$;00:05:23;09:50:56;04.10.2022;Y;09;54 03.91351 N;009 59.04329 E;0.255;0.4;;17.9;21.125;17.250;67.32;1020.969;9.1;66673
$;00:05:25;09:50:58;04.10.2022;Y;09;54 03.91347 N;009 59.04314 E;0.225;0.4;;18.2;21.250;17.250;67.24;1020.849;9.1;66673
$;00:05:27;09:51:00;04.10.2022;Y;09;54 03.91349 N;009 59.04302 E;0.233;0.4;;18.6;21.375;17.125;67.32;1020.869;9.1;66673
$;00:05:29;09:51:02;04.10.2022;Y;09;54 03.91345 N;009 59.04284 E;0.083;0.1;;18.4;21.250;17.500;67.47;1020.979;9.1;66673
$;00:05:31;09:51:04;04.10.2022;Y;09;54 03.91349 N;009 59.04272 E;0.151;0.2;;18.5;21.250;17.375;67.40;1020.830;9.1;66673
$;00:05:33;09:51:06;04.10.2022;Y;09;54 03.91356 N;009 59.04282 E;0.068;0.1;;18.4;21.250;17.250;67.47;1020.979;9.1;66673
$;00:05:35;09:51:08;04.10.2022;Y;09;54 03.91360 N;009 59.04284 E;0.099;0.1;;18.5;21.375;17.375;67.47;1021.10;9.1;66673
$;00:05:37;09:51:10;04.10.2022;Y;09;54 03.91364 N;009 59.04300 E;0.105;0.1;;18.4;21.250;17.500;67.62;1020.919;9.1;66673
$;00:05:39;09:51:12;04.10.2022;Y;09;54 03.91371 N;009 59.04323 E;0.037;0.0;;18.2;21.250;17.250;67.62;1020.979;9.1;66673
$;00:05:41;09:51:14;04.10.2022;Y;09;54 03.91370 N;009 59.04348 E;0.231;0.4;;17.7;21.375;17.375;67.70;1020.960;9.1;66673
$;00:05:43;09:51:16;04.10.2022;Y;09;54 03.91374 N;009 59.04365 E;0.100;0.1;;17.4;21.375;17.375;67.85;1020.929;9.1;66673
$;00:05:45;09:51:18;04.10.2022;Y;09;54 03.91381 N;009 59.04370 E;0.318;0.5;;17.5;21.500;17.250;67.93;1020.880;9.1;66673
