Temperatur; Luftfeuchtigkeit; Luftdruck; TVOC; CO2; UV
-34.00; 20; 30585; 3; 423; 0

-34.71; 20; 30478; 1; 407; 0

-34.53; 20; 30388; 2; 417; 0

-34.03; 20; 30278; 3; 423; 0

-34.25; 20; 30161; 2; 414; 0

-34.72; 20; 30068; 0; 400; 0

-34.42; 20; 29936; 1; 413; 0

-33.59; 19; 29838; 3; 420; 0

-32.52; 19; 29710; 5; 439; 0

-32.45; 19; 29627; 8; 454; 0

-32.32; 19; 29527; 12; 480; 0

-32.55; 19; 29377; 10; 470; 0

-31.46; 19; 29260; 8; 454; 0

-30.81; 18; 29173; 8; 454; 0

-30.49; 18; 29064; 8; 454; 0

-29.81; 18; 28940; 13; 486; 1

-30.35; 17; 28841; 8; 454; 0

-30.66; 17; 28753; 10; 470; 0

-30.18; 17; 28650; 13; 486; 0

-30.54; 17; 28525; 10; 470; 0

-30.01; 17; 28406; 13; 491; 0

-29.61; 17; 28232; 14; 498; 0

-29.74; 16; 28105; 14; 498; 0

-30.79; 16; 27936; 11; 475; 0

-30.41; 16; 27865; 13; 491; 0

-30.46; 16; 27749; 15; 503; 0

-31.85; 16; 27616; 14; 496; 1

-31.56; 16; 27578; 12; 480; 0

-33.00; 16; 27492; 10; 470; 0

-33.30; 16; 27382; 17; 517; 0

-34.84; 16; 27278; 18; 519; 1

-34.51; 16; 27130; 24; 564; 0

-35.75; 16; 27082; 29; 594; 0

-37.03; 17; 26964; 19; 526; 0

-37.39; 17; 26880; 13; 491; 0

-37.51; 17; 26788; 17; 517; 0

-38.14; 17; 26699; 17; 517; 0

-39.16; 17; 26603; 18; 519; 0

