Temperatur; Luftfeuchtigkeit; Luftdruck; TVOC; CO2; UV
18.42; 65; 101809; 2; 417; 0

18.34; 66; 101813; 5; 434; 0

18.32; 66; 101813; 5; 434; 0

18.33; 66; 101814; 3; 425; 0

18.37; 65; 101808; 2; 417; 0

18.36; 64; 101811; 1; 411; 0

18.39; 64; 101811; 3; 425; 0

18.45; 65; 101812; 4; 432; 0

18.42; 65; 101816; 3; 421; 0

18.40; 64; 101814; 1; 411; 0

18.21; 63; 101813; 1; 410; 0

18.21; 64; 101811; 2; 414; 0

18.24; 63; 101813; 2; 414; 0

18.52; 63; 101822; 3; 422; 0

18.82; 64; 101820; 6; 443; 0

19.12; 62; 101816; 3; 422; 0

19.37; 61; 101813; 2; 418; 0

19.59; 61; 101816; 5; 433; 0

19.82; 60; 101813; 5; 433; 0

19.97; 59; 101814; 2; 418; 1

20.00; 59; 101810; 2; 414; 0

20.04; 58; 101813; 2; 414; 0

20.24; 57; 101811; 2; 418; 0

20.15; 57; 101809; 4; 427; 0

20.07; 57; 101805; 4; 427; 0

20.12; 57; 101816; 2; 418; 0

20.34; 57; 101817; 3; 422; 0

20.36; 57; 101814; 3; 422; 0

20.32; 57; 101808; 5; 433; 0

20.09; 58; 101803; 5; 438; 0

20.01; 59; 101808; 6; 445; 0

19.94; 59; 101804; 6; 443; 0

19.77; 58; 101806; 1; 410; 0

19.65; 59; 101810; 5; 438; 0

19.58; 59; 101809; 2; 418; 1

19.53; 59; 101807; 5; 433; 0

19.39; 60; 101808; 2; 418; 0

19.54; 60; 101815; 6; 443; 0

19.93; 59; 101814; 5; 433; 0

20.18; 58; 101812; 6; 443; 0

20.06; 60; 101812; 7; 452; 0

19.92; 59; 101807; 4; 427; 0

19.82; 61; 101813; 9; 460; 0

19.75; 62; 101810; 9; 464; 0

19.64; 60; 101803; 5; 433; 0

19.42; 59; 101806; 4; 427; 0

19.24; 60; 101809; 4; 427; 0

18.98; 60; 101810; 2; 414; 0

18.99; 60; 101807; 2; 418; 0

18.84; 60; 101808; 0; 405; 0

18.76; 61; 101806; 1; 410; 0

18.70; 61; 101807; 2; 418; 0

18.60; 62; 101809; 3; 422; 0

18.50; 64; 101806; 6; 443; 0

18.40; 63; 101807; 1; 410; 0

18.27; 62; 101809; 0; 400; 2

18.19; 62; 101812; 0; 403; 0

18.46; 62; 101809; 1; 408; 0

18.87; 62; 101814; 3; 422; 0

19.03; 62; 101811; 3; 425; 0

18.73; 61; 101807; 0; 400; 0

18.55; 61; 101814; 0; 405; 0

18.83; 60; 101811; 2; 417; 0

18.93; 60; 101813; 3; 423; 0

18.65; 61; 101805; 3; 423; 0

18.51; 61; 101810; 3; 423; 0

18.22; 61; 101811; 0; 400; 0

18.21; 61; 101803; 1; 409; 0

19.26; 60; 101812; 5; 438; 0

19.91; 59; 101813; 5; 433; 0

20.45; 58; 101817; 7; 451; 0

20.02; 59; 101807; 7; 447; 0

19.47; 59; 101813; 3; 422; 0

